// Addressing Mode,// Instruction Size,// Instruction Cycle Count,// Page Cross Cycle Cost,// Name
11,2,5,0,"DEC",
11,0,5,0,"DCP",
6,1,2,0,"INY",
5,2,2,0,"CMP",
6,1,2,0,"DEX",
5,0,2,0,"AXS",
1,3,4,0,"CPY",
1,3,4,0,"CMP",
1,3,6,0,"DEC",
1,0,6,0,"DCP",
10,2,2,1,"BNE",
9,2,5,1,"CMP",
6,0,2,0,"KIL",
9,0,8,0,"DCP",
12,2,4,0,"NOP",
12,2,4,0,"CMP",
12,2,6,0,"DEC",
12,0,6,0,"DCP",
6,1,2,0,"CLD",
3,3,4,1,"CMP",
6,1,2,0,"NOP",
3,0,7,0,"DCP",
2,3,4,1,"NOP",
2,3,4,1,"CMP",
2,3,7,0,"DEC",
2,0,7,0,"DCP",
5,2,2,0,"CPX",
7,2,6,0,"SBC",
5,0,2,0,"NOP",
7,0,8,0,"ISC",
11,2,3,0,"CPX",
11,2,3,0,"SBC",
11,2,5,0,"INC",
11,0,5,0,"ISC",
6,1,2,0,"INX",
5,2,2,0,"SBC",
6,1,2,0,"NOP",
5,0,2,0,"SBC",
1,3,4,0,"CPX",
1,3,4,0,"SBC",
1,3,6,0,"INC",
1,0,6,0,"ISC",
10,2,2,1,"BEQ",
9,2,5,1,"SBC",
6,0,2,0,"KIL",
9,0,8,0,"ISC",
12,2,4,0,"NOP",
12,2,4,0,"SBC",
12,2,6,0,"INC",
12,0,6,0,"ISC",
6,1,2,0,"SED",
3,3,4,1,"SBC",
6,1,2,0,"NOP",
3,0,7,0,"ISC",
2,3,4,1,"NOP",
2,3,4,1,"SBC",
2,3,7,0,"INC",
2,0,7,0,"ISC",
